###############################################################################
#                                                                             #
#                             Common misspellings                             #
#                                                                             #
###############################################################################

absence         absense, absance
omission        ommision, omision
original        orignal
outrageous      outragous
parliament      parliment
pastime         passtime, pasttime
perceive        percieve
perseverance    perserverance, persaverence, perserverence
personnel       personell, personel
plagiarize      plagerize
playwright      playright, playwrite
possession      posession, possesion
potato          potatoe
potatoes        potatos
precede         preceed, preceede
prerogative     perogative, perogitive, preragitive
presence        presance
privilege       privelege, privlege, privelige
proceed         procede, proceede, proced
professor       professer, proffessor
promise         promiss
pronunciation   pronounciation
proof           prufe
publicly        publically
quarantine      quarentine
questionnaire   questionaire, questionnair
readable        readible
really          realy
receipt         reciept
receive         recieve
recommend       recomend, reccommend
reference       referance, refrence
referred        refered
relevant        relevent, revelant
religious       religous, religius
repetition      repitition
restaurant      restarant, restaraunt
rhyme           ryme
rhythm          rythm, rythem
secretary       secratary, secretery
seize           sieze
separate        seperate, separete, seperat
sergeant        sargent
similar         similer
speech          speach, speeche
successful      succesful, successfull, sucessful
supersede       superceed, suparseed
surprise        suprise, surprize
tomatoes        tomatos
tomorrow        tommorrow, tommorow
twelfth         twelth, twelf
tyranny         tyrany
underrate       underate
until           untill
upholstery      upholstry
usable          usible, useable
vacuum          vaccuum, vacume
vehicle         vehical
vicious         visious
weird           wierd
welfare         wellfare, welfair
willful         wilfull
withhold        withhuld, withold, withhald
writing         writting, writeing


###############################################################################
#                                                                             #
#                            Common abbreviations                             #
#                                                                             #
###############################################################################


abbreviation    abbr, abbr.
academy         acad, acad.
adverb          adv, adv.
altitude        alt, alt.
anonymous       anon, anon.
approximately   approx, approx.
association     assn, assn.
august          aug, aug.
avenue          ave, ave.
banking         bkg, bkg.
biology         biol, biol.
boulevard       blvd, blvd.
building        bldg, bldg.
captain         capt, capt.
cathedral       cath, cath.
centimeter      cm
chronology      chron, chron.
clerk           clk, clk.
commander       comdr, comdr.
conference      conf, conf.
congress        cong, cong.
construction    constr, constr.
corporal        cpl, cpl.
corporation     corp, corp.
december        dec, dec.
degree          deg, deg.
department      dept, dept., dpt, dpt.
dozen           doz, doz.
especially      esp, esp.
february        feb, feb.
foreword        fwd, fwd.
gallon          gal, gal.
height          ht, ht.
hour            hr
incorporated    inc, inc.
january         jan, jan.
judicial        jud, jud.
kilogram        kg
kilometer       km
kilowat         kw
language        lang, lang.
manager         mgr, mgr.
manufacturing   mfg, mfg.
mile            mi
milligram       mg
minute          min
miscellaneous   misc, misc.
mountain        mt, mt.
negative        neg, neg.
november        nov, nov.
october         oct, oct.
percent         pct, pct.
quart           qt, qt.
quarter         qr, qr.
quotation       quot, quot.
release         rel, rel.
river           riv, riv.
school          sch, sch.
september       sept, sept.
sergeant        sgt, sgt.
series          ser, ser.
superintendent  supt, supt.
teaspoon        tsp, tsp.
territory       terr, terr.
ultimate        ult, ult.
university      univ, univ.
usually         usu, usu.
versus          vs, vs., v, v.
volume          vol, vol.
yard            yd

